record_id,Dataset,Source,Service,Respondent_Group,Scenario,Sentiment,Sentiment Score,Location,Latitude,Longitude,X,Y,Coordinate_Method,Trip_Time_Minutes,Time_of_Day,Trip_Purpose,Alternative_Mode,Choice_Factors,Barrier_to_Riding,Encouragement,Late_Night_Travel_Change,Views_Changed,Max_WTP,Zero_Emission_Importance,Accessibility_Importance,Distribution_Importance,Transit_Connectivity_Importance,Zero_Emission_Score,Accessibility_Score,Distribution_Score,Transit_Connectivity_Score,Shared_Ride_View,Attraction_to_Project,Text_Summary,Privacy_Notes,Birth Year,Age in 2022,Age Band (2022),Sex,Ethnicity,Degree Program,Years at USF,Home ZIP Code,Lives on Campus,Household / Roommates,Primary Daily Travel Mode
RR-0041,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Uncertain about availability of cars / getting stuck without a ride,Demo or instruction,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Uncertain about availability of cars / getting stuck without a ride; encouragement=Demo or instruction; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,White,BS/BA,2,94118,Yes,3,"Public Transit (Bus, Train, etc.)"
RR-0042,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,41.7697,-87.6985,-87.6985,41.7697,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0043,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7506,-122.4121,-122.4121,37.7506,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,3,94118,No,2,"Public Transit (Bus, Train, etc.)"
RR-0044,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7441,-122.48,-122.48,37.7441,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Expanded times,,,,,,,,,,,,,Expanded options leisure trips at night,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,3,94118,No,2,"Public Transit (Bus, Train, etc.)"
RR-0045,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1999,23,18–24,Male,Asian,BS/BA,1,Other,No,1,Drive Alone
RR-0046,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1999,23,18–24,Male,Asian,BS/BA,1,Other,No,1,Drive Alone
RR-0047,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Uncertain about availability of cars / getting stuck without a ride,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Uncertain about availability of cars / getting stuck without a ride; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Female,Other,BS/BA,Less than 1,94118,Yes,2,"Public Transit (Bus, Train, etc.)"
RR-0048,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,38.7277,-123.4633,-123.4633,38.7277,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,94158,,,
RR-0049,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.3388,-121.8916,-121.8916,37.3388,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,Other,BS/BA,2,94118,Yes,1,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0050,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7595,-122.4367,-122.4367,37.7595,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,94117,No,0,Micromobility (scooters / bikeshare)
RR-0051,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7506,-122.4121,-122.4121,37.7506,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,94117,No,0,Micromobility (scooters / bikeshare)
RR-0052,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Weekly reminders via email or phone,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Weekly reminders via email or phone; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Female,Black or African American,BS/BA,2,94118,Yes,3,Walk
RR-0053,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Access to more locations in the city,,,,,,,,,,,,,Expanded options leisure trips at night,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,White,BS/BA,2,94118,Yes,3,Walk
RR-0054,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,36.102,-115.1447,-115.1447,36.102,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,White,BS/BA,2,94118,Yes,3,Walk
RR-0055,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,"No particular reason, just exploring",respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,94121,No,0,Drive Alone
RR-0056,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0057,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2003,19,18–24,Female,Black or African American,BS/BA,Less than 1,94118,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0058,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,42.3212,-83.266,-83.266,42.3212,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2003,19,18–24,Female,Black or African American,BS/BA,Less than 1,94118,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0059,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Weekly reminders via email or phone,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Weekly reminders via email or phone; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Female,Asian,BS/BA,Less than 1,94118,Yes,1,Walk
RR-0060,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Reliability/Late-Night Mobility,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Nervous about going out late in the city,Demo or instruction,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Nervous about going out late in the city; encouragement=Demo or instruction; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Female,Asian,BS/BA,Less than 1,94118,Yes,1,Walk
RR-0061,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Access to more locations in the city,,,,,,,,,,,,,Expanded options for commuting,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0062,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Access to more locations in the city,,,,,,,,,,,,,Expanded options for commuting,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0063,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7958,-122.4203,-122.4203,37.7958,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1960,62,55–64,Male,White,Masters,Less than 1,94118,No,2,Drive Alone
RR-0064,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7958,-122.4203,-122.4203,37.7958,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1960,62,55–64,Male,White,Masters,Less than 1,94118,No,2,Drive Alone
RR-0065,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1960,62,55–64,Male,White,Masters,Less than 1,94118,No,2,Drive Alone
RR-0066,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1960,62,55–64,Male,White,Masters,Less than 1,94118,No,2,Drive Alone
RR-0067,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1960,62,55–64,Male,White,Masters,Less than 1,94118,No,2,Drive Alone
RR-0068,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1960,62,55–64,Male,White,Masters,Less than 1,94118,No,2,Drive Alone
RR-0069,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,38.342,-0.4825,-0.4825,38.342,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Weekly reminders via email or phone,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Weekly reminders via email or phone; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,4,94118,,2,"Rideshare (e.g. Uber, Lyft, etc.)"
RR-0070,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.2379,-121.7946,-121.7946,37.2379,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,"Friends were doing it, followed suit",respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,4,94118,No,3,"Public Transit (Bus, Train, etc.)"
RR-0071,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Decided to take another means of transportation,Other:,,,,,,,,,,,,,"Friends were doing it, followed suit",respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Decided to take another means of transportation; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,4,94118,No,3,"Public Transit (Bus, Train, etc.)"
RR-0072,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.2379,-121.7946,-121.7946,37.2379,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,"Friends were doing it, followed suit",respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,4,94118,No,3,"Public Transit (Bus, Train, etc.)"
RR-0073,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.589,-122.0461,-122.0461,37.589,SurveyLatitude and Survey Longitude fields,,,,,,Apprehensive with driverless technology / no driver in car,,,,,,,,,,,,,,"No particular reason, just exploring",respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Apprehensive with driverless technology / no driver in car; encouragement=; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2003,19,18–24,Female,White,BS/BA,Less than 1,94118,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0074,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7562,-122.4866,-122.4866,37.7562,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Weekly reminders via email or phone,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Weekly reminders via email or phone; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1987,35,35–44,Female,Asian,Masters,Less than 1,94122,No,1,"Public Transit (Bus, Train, etc.)"
RR-0075,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Expanded times,,,,,,,,,,,,,Expanded options for commuting,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,Less than 1,94134,No,3,Drive or Ride with Others (Carpool / Vanpool)
RR-0076,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7506,-122.4121,-122.4121,37.7506,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,Less than 1,94134,No,3,Drive or Ride with Others (Carpool / Vanpool)
RR-0077,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Other:,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1993,29,25–34,Male,Asian,Masters,Less than 1,94107,No,2,Walk
RR-0078,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Reliability/Late-Night Mobility,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Nervous about going out late in the city,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Nervous about going out late in the city; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Female,White,BS/BA,2,94118,Yes,3,"Public Transit (Bus, Train, etc.)"
RR-0079,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Reliability/Late-Night Mobility,Neutral,-0.1,Survey response area,37.5234,-120.8517,-120.8517,37.5234,SurveyLatitude and Survey Longitude fields,,,,,,Nervous about going out late in the city,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Nervous about going out late in the city; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Female,White,BS/BA,2,94118,Yes,3,"Public Transit (Bus, Train, etc.)"
RR-0080,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Expanded options leisure trips at night,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1999,23,18–24,Male,White,BS/BA,3,94118,No,1,Walk
RR-0081,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Expanded options leisure trips at night,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1999,23,18–24,Male,White,BS/BA,3,94118,No,1,Walk
RR-0082,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Did not seem like it could be regular transportation option,Access to more locations in the city,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Did not seem like it could be regular transportation option; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Male,Asian,BS/BA,3,94112,No,3,Drive Alone
RR-0083,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,2,94118,No,4,Walk
RR-0084,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7797,-122.4159,-122.4159,37.7797,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Access to more locations in the city,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1997,25,25–34,Female,Asian,Masters,Less than 1,94102,No,3,"Public Transit (Bus, Train, etc.)"
RR-0085,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7797,-122.4159,-122.4159,37.7797,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Access to more locations in the city,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1997,25,25–34,Female,Asian,Masters,Less than 1,94102,No,3,"Public Transit (Bus, Train, etc.)"
RR-0086,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7797,-122.4159,-122.4159,37.7797,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Access to more locations in the city,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1997,25,25–34,Female,Asian,Masters,Less than 1,94102,No,3,"Public Transit (Bus, Train, etc.)"
RR-0087,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7797,-122.4159,-122.4159,37.7797,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Access to more locations in the city,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1997,25,25–34,Female,Asian,Masters,Less than 1,94102,No,3,"Public Transit (Bus, Train, etc.)"
